L,R_n,theta,delta,dL
20,3.215463194,52.92432973,0.523685462,3.416576249
41.87587132,3.054625811,65.53854294,1.57351195,1
61.0438569,4.609437734,45.26638532,0.67292994,2.521580082
87.2818004,2.041101185,68.62506701,1.11204637,1.803554782
93.62145954,3.416866923,46.69790082,2,2.111472811
100,4.91760566,56.70246734,1.332030058,1.109794324
21.45575735,2.728674666,57.86273712,1.963041408,1.447893827
37.72645666,2.823598826,45.82401993,1.166126523,3.802562482
43.11428924,5,69.98057428,0.5,2.793805782
50.1396142,2.114782664,75,1.749531311,2.993507288
