L (mm),R_n (mm),theta (degree),delta  (mm),dL  (mm)
20,3.215463194,52.92432973,0.523685462,3.416576249
41.87587132,3.054625811,65.53854294,1.57351195,1
61.0438569,4.609437734,45.26638532,0.67292994,2.521580082
87.2818004,2.041101185,68.62506701,1.11204637,1.803554782
93.62145954,3.416866923,46.69790082,2,2.111472811
100,4.91760566,56.70246734,1.332030058,1.109794324
21.45575735,2.728674666,57.86273712,1.963041408,1.447893827
37.72645666,2.823598826,45.82401993,1.166126523,3.802562482
43.11428924,5,69.98057428,0.5,2.793805782
50.1396142,2.114782664,75,1.749531311,2.993507288
76.21600383,3.34041281,71.24018664,0.741979025,1.171431345
83.0746783,3.652846779,59.26715181,1.522380342,3.298971486
30.47817069,3.508040473,71.94038123,1.898417325,3.629699091
36.05074579,4.729306699,53.88279689,1.717750786,1.885116655
47.28967964,4.043068991,56.30876664,0.77606984,4
79.30824929,2.276091482,45,1.652166499,1.299449781
94.74247831,4.34731984,62.27350791,0.541252816,1.535801307
96.95337076,2.895966655,73.05116659,1.405204644,2.630786977
25.01740482,3.885550902,74.72852113,0.625266906,1.995100733
54.1314121,2.586495978,60.7685464,0.951804989,2.213894683
58.2344921,4.950438146,62.63150616,1.989530349,3.86590822
66.82579566,3.796041004,50.02810471,1.233136808,1.639062078
73.55198926,4.172067717,67.25609518,1.815060049,2.3607312
99.31959225,2.170520544,48.4450243,0.815174255,3.189657859
22.67321979,4.494460934,64.38683293,1.277576902,3.071803898
26.56842136,2,50.97437941,1.475393508,2.44660855
29.15294248,4.248266543,47.38357945,0.911687068,1.050866058
65.44729458,2.322755366,66.32064848,0.588628647,3.718448429
70.62447092,4.771293422,74.15416147,1.029202366,3.472291261
88.98778791,2.516536443,52.34267182,1.844446942,3.960348535
